Date,Water_Level_ft,Estimate
09/05/05 0:00:00,172.7000,
01/06/06 0:00:00,173.0000,
01/09/06 0:00:00,173.0000,
01/11/06 0:00:00,173.9000,
01/17/06 0:00:00,175.3000,
01/20/06 0:00:00,176.4000,
01/27/06 0:00:00,177.3000,
01/30/06 0:00:00,177.9000,
02/01/06 0:00:00,178.5000,
02/03/06 0:00:00,179.1000,
02/09/06 0:00:00,179.8000,
02/14/06 0:00:00,180.2000,
02/17/06 0:00:00,180.2000,
02/23/06 0:00:00,180.0000,
03/03/06 0:00:00,179.8000,
03/10/06 0:00:00,179.9000,
03/17/06 0:00:00,179.8000,
03/30/06 0:00:00,179.6000,
04/13/06 0:00:00,179.3000,
04/28/06 0:00:00,179.0000,
05/12/06 0:00:00,178.4000,
05/25/06 0:00:00,178.0000,
07/07/06 0:00:00,176.6000,
08/04/06 0:00:00,175.3000,
10/09/06 0:00:00,172.3000,
10/27/06 0:00:00,172.0000,
11/09/06 0:00:00,173.1000,
11/27/06 0:00:00,174.9000,
12/08/06 0:00:00,175.9000,
12/14/06 0:00:00,176.4000,
12/29/06 0:00:00,178.4000,
01/09/07 0:00:00,180.3000,
01/22/07 0:00:00,180.7000,
02/22/07 0:00:00,180.2000,
03/26/07 0:00:00,181.8000,
04/13/07 0:00:00,181.5000,
04/20/07 0:00:00,181.1000,
05/11/07 0:00:00,180.2000,
07/13/07 0:00:00,177.5000,
10/19/07 0:00:00,174.0000,
12/14/07 0:00:00,176.1000,
01/22/08 0:00:00,179.1000,
02/07/08 0:00:00,179.3000,
03/13/08 0:00:00,179.2000,
04/14/08 0:00:00,178.7000,
05/09/08 0:00:00,178.8000,
06/05/08 0:00:00,177.8000,
06/17/08 0:00:00,177.1000,
07/07/08 0:00:00,176.3000,
08/05/08 0:00:00,175.2000,
09/15/08 0:00:00,173.2000,
10/20/08 0:00:00,172.2000,
11/19/08 0:00:00,173.1000,
01/12/09 0:00:00,176.1000,
01/22/09 0:00:00,177.5000,
02/20/09 0:00:00,177.2000,
03/23/09 0:00:00,177.2000,
04/22/09 0:00:00,177.7000,
05/27/09 0:00:00,177.4000,
06/24/09 0:00:00,176.2000,
12/20/09 0:00:00,179.1000,
01/20/10 0:00:00,175.7000,
02/19/10 0:00:00,176.6200,
02/22/10 0:00:00,176.3900,
03/18/10 0:00:00,176.7800,
04/13/10 0:00:00,177.3100,
05/13/10 0:00:00,176.8000,
06/15/10 0:00:00,176.3300,
07/21/10 0:00:00,175.4200,
08/16/10 0:00:00,174.2800,
09/20/10 0:00:00,173.0400,
10/14/10 0:00:00,172.8200,
11/15/10 0:00:00,173.6000,
12/20/10 0:00:00,175.9600,
01/19/11 0:00:00,178.4400,
02/16/11 0:00:00,179.1600,
03/29/11 0:00:00,181.0300,
04/26/11 0:00:00,181.1000,
05/23/11 0:00:00,180.7000,
07/20/11 0:00:00,178.0900,
08/24/11 0:00:00,176.3900,
09/27/11 0:00:00,174.8300,
10/26/11 0:00:00,174.2700,
11/29/11 0:00:00,175.0400,
01/04/12 0:00:00,176.0200,
02/14/12 0:00:00,177.6200,
03/08/12 0:00:00,179.3800,
04/03/12 0:00:00,180.9500,
05/07/12 0:00:00,180.9400,
07/03/12 0:00:00,178.3500,
08/08/12 0:00:00,176.6900,
09/05/12 0:00:00,175.3900,
10/02/12 0:00:00,174.1500,
11/14/12 0:00:00,174.3800,
12/10/12 0:00:00,176.5900,
12/21/12 0:00:00,177.9500,
01/09/13 0:00:00,178.9400,
02/06/13 0:00:00,178.8600,
03/06/13 0:00:00,178.8900,
04/04/13 0:00:00,179.1900,
06/10/13 0:00:00,177.5500,
09/04/13 0:00:00,173.8300,
10/01/13 0:00:00,173.7600,
11/04/13 0:00:00,174.0100,
12/03/13 0:00:00,174.3200,
01/06/14 0:00:00,174.1300,
02/04/14 0:00:00,174.8000,
03/03/14 0:00:00,176.6500,
04/01/14 0:00:00,179.1500,
05/01/14 0:00:00,179.2700,
06/02/14 0:00:00,178.4500,
07/01/14 0:00:00,177.1900,
08/11/14 0:00:00,175.2500,
09/02/14 0:00:00,174.2700,
10/07/14 0:00:00,173.0700,
11/03/14 0:00:00,173.1200,
12/01/14 0:00:00,173.9500,
01/06/15 0:00:00,175.8500,
02/03/15 0:00:00,177.4900,
03/02/15 0:00:00,178.4300,
04/06/15 0:00:00,178.7100,
06/01/15 0:00:00,176.7500,
07/01/15 0:00:00,175.7600,
08/03/15 0:00:00,173.6500,
09/01/15 0:00:00,172.3900,
10/05/15 0:00:00,171.2800,
11/02/15 0:00:00,171.2200,
12/01/15 0:00:00,174.2600,
01/06/16 0:00:00,178.9600,
02/01/16 0:00:00,180.7000,
03/01/16 0:00:00,182.0800,
04/06/16 0:00:00,182.4900,
05/03/16 0:00:00,181.0700,
06/06/16 0:00:00,179.2000,
07/05/16 0:00:00,177.5600,
09/07/16 0:00:00,174.5300,
10/03/16 0:00:00,173.5400,
11/08/16 0:00:00,175.0600,
12/01/16 0:00:00,176.6800,
01/04/17 0:00:00,178.5500,
02/01/17 0:00:00,178.9600,
03/01/17 0:00:00,180.6900,
03/10/17 0:00:00,181.6200,
03/31/17 8:15:00,183.4100,
