Date,Water_Level_ft,Estimate
09/05/05 0:00:00,153.3100,
01/06/06 0:00:00,156.3600,
01/09/06 0:00:00,156.4600,
01/11/06 0:00:00,156.8200,
01/17/06 0:00:00,157.7600,
01/20/06 0:00:00,156.6200,
01/27/06 0:00:00,156.8100,
01/30/06 0:00:00,157.2800,
02/01/06 0:00:00,157.3700,
02/03/06 0:00:00,156.4300,
02/09/06 0:00:00,156.0200,
02/14/06 0:00:00,155.5800,
02/17/06 0:00:00,155.2900,
02/23/06 0:00:00,155.0000,
03/03/06 0:00:00,155.2200,
03/10/06 0:00:00,155.7300,
03/17/06 0:00:00,155.9700,
03/31/06 0:00:00,154.1100,
04/13/06 0:00:00,154.7400,
04/28/06 0:00:00,154.7200,
05/12/06 0:00:00,154.4400,
05/25/06 0:00:00,154.4300,
07/07/06 0:00:00,153.7400,
08/04/06 0:00:00,153.1400,
10/09/06 0:00:00,151.0300,
10/27/06 0:00:00,153.6700,
11/09/06 0:00:00,156.3700,
11/27/06 0:00:00,156.5400,
12/08/06 0:00:00,155.8200,
12/14/06 0:00:00,157.0600,
12/29/06 0:00:00,156.3400,
01/09/07 0:00:00,156.5300,
01/22/07 0:00:00,155.6800,
02/22/07 0:00:00,156.0700,
03/07/07 0:00:00,155.7700,
03/26/07 0:00:00,157.0700,
04/13/07 0:00:00,155.5700,
04/20/07 0:00:00,154.8300,
05/11/07 0:00:00,153.7300,
10/19/07 0:00:00,153.9300,
12/14/07 0:00:00,155.0300,
01/22/08 0:00:00,155.2300,
02/07/08 0:00:00,155.2300,
03/13/08 0:00:00,154.9300,
05/09/08 0:00:00,154.7600,
06/05/08 0:00:00,154.2400,
06/17/08 0:00:00,154.1600,
07/07/08 0:00:00,153.6900,
08/05/08 0:00:00,153.0900,
09/15/08 0:00:00,152.8300,
10/20/08 0:00:00,153.1900,
11/19/08 0:00:00,155.9900,
01/12/09 0:00:00,158.3700,
01/22/09 0:00:00,155.6600,
02/20/09 0:00:00,154.7400,
03/23/09 0:00:00,155.7900,
04/22/09 0:00:00,155.3900,
05/27/09 0:00:00,154.7900,
06/24/09 0:00:00,153.8900,
07/27/09 0:00:00,153.0900,
08/27/09 0:00:00,152.7600,
09/28/09 0:00:00,152.9100,
10/27/09 0:00:00,154.0700,
11/24/09 0:00:00,156.3400,
12/23/09 0:00:00,155.9900,
01/20/10 0:00:00,156.0900,
02/22/10 0:00:00,155.5700,
03/18/10 0:00:00,155.3300,
04/13/10 0:00:00,155.6500,
05/13/10 0:00:00,153.3500,
06/15/10 0:00:00,154.9100,
07/21/10 0:00:00,153.9800,
08/16/10 0:00:00,153.3500,
09/20/10 0:00:00,154.0100,
10/14/10 0:00:00,154.6200,
11/15/10 0:00:00,155.6100,
12/20/10 0:00:00,156.0800,
01/19/11 0:00:00,156.2800,
02/16/11 0:00:00,155.7400,
03/29/11 0:00:00,155.5300,
04/26/11 0:00:00,155.3500,
05/23/11 0:00:00,155.1300,
07/20/11 0:00:00,153.9400,
08/24/11 0:00:00,153.1600,
09/27/11 0:00:00,153.0700,
10/26/11 0:00:00,154.0700,
11/29/11 0:00:00,156.0800,
01/04/12 0:00:00,156.0000,
01/25/12 0:00:00,156.9900,
02/14/12 0:00:00,155.4500,
03/08/12 0:00:00,155.7000,
04/03/12 0:00:00,156.1100,
05/15/12 0:00:00,155.1100,
07/03/12 0:00:00,154.1100,
08/08/12 0:00:00,153.3400,
09/05/12 0:00:00,152.8200,
10/02/12 0:00:00,152.6200,
11/14/12 0:00:00,155.8400,
12/10/12 0:00:00,156.0100,
01/09/13 0:00:00,156.7800,
02/06/13 0:00:00,155.4000,
03/06/13 0:00:00,155.6100,
03/27/13 0:00:00,155.3900,
04/04/13 0:00:00,155.1300,
06/10/13 0:00:00,154.4300,
09/04/13 0:00:00,153.0300,
10/01/13 0:00:00,156.2200,
11/04/13 0:00:00,154.8900,
12/03/13 0:00:00,155.9200,
01/06/14 0:00:00,155.0500,
02/04/14 0:00:00,155.3900,
03/03/14 0:00:00,156.2800,
04/01/14 0:00:00,154.8900,
05/01/14 0:00:00,155.5800,
06/02/14 0:00:00,154.7000,
07/01/14 0:00:00,153.9400,
08/11/14 0:00:00,153.1300,
09/02/14 0:00:00,151.9700,
10/07/14 0:00:00,153.4100,
11/03/14 0:00:00,155.4900,
12/01/14 0:00:00,155.9600,
01/06/15 0:00:00,156.9300,
02/03/15 0:00:00,155.4700,
03/02/15 0:00:00,155.1600,
04/06/15 0:00:00,155.2200,
06/01/15 0:00:00,154.1000,
07/01/15 0:00:00,153.3900,
08/03/15 0:00:00,152.8500,
09/01/15 0:00:00,153.1600,
10/05/15 0:00:00,152.8800,
11/02/15 0:00:00,155.7100,
12/01/15 0:00:00,155.4800,
01/06/16 0:00:00,155.5000,
02/01/16 0:00:00,156.0000,
03/01/16 0:00:00,156.2900,
04/06/16 0:00:00,155.2200,
05/03/16 0:00:00,153.8500,
06/06/16 0:00:00,153.8200,
07/05/16 0:00:00,153.4100,
09/07/16 0:00:00,153.3500,
10/03/16 0:00:00,153.6400,
11/08/16 0:00:00,155.0400,
12/01/16 0:00:00,155.9700,
01/04/17 0:00:00,155.4400,
02/01/17 0:00:00,155.1900,
03/01/17 0:00:00,155.5400,
